

*******************************************************************************
Ephemeris / WWW_USER Thu Dec 21 04:08:52 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2022-Dec-01 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Dec-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 6.96E5, 0.0                {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459939.500000000, A.D. 2022-Dec-26 00:00:00.0000, -1.057605404076930E+07,  1.466857856685020E+08,  7.308713111890852E+04, -2.988258746673367E+01, -4.087633558852016E+00, -1.021433517585575E-01,
2459940.500000000, A.D. 2022-Dec-27 00:00:00.0000, -1.313566927119043E+07,  1.463150695370964E+08,  6.189429882621765E+04, -2.937193740628231E+01, -4.474095441823824E+00, -1.556210999977068E-01,
2459941.500000000, A.D. 2022-Dec-28 00:00:00.0000, -1.565265154240379E+07,  1.459159062554921E+08,  4.647043746398389E+04, -2.890030990004263E+01, -4.748138512571619E+00, -1.995825971010983E-01,
2459942.500000000, A.D. 2022-Dec-29 00:00:00.0000, -1.813151366412435E+07,  1.454973933769565E+08,  2.775845781310648E+04, -2.849348938697825E+01, -4.925081328869958E+00, -2.313458451845825E-01,
2459943.500000000, A.D. 2022-Dec-30 00:00:00.0000, -2.057881017477633E+07,  1.450670425440763E+08,  6.901756320193410E+03, -2.817271100462097E+01, -5.026123702454161E+00, -2.489755607226680E-01,
2459944.500000000, A.D. 2022-Dec-31 00:00:00.0000, -2.300268593853910E+07,  1.446303261073612E+08, -1.482571231000125E+04, -2.795336528809953E+01, -5.077025838381616E+00, -2.514000775818017E-01,
2459945.500000000, A.D. 2023-Jan-01 00:00:00.0000, -2.541232813369221E+07,  1.441903503627226E+08, -3.609721548750252E+04, -2.784406779889874E+01, -5.106513856676422E+00, -2.384753887809026E-01,
2459946.500000000, A.D. 2023-Jan-02 00:00:00.0000, -2.781735557772778E+07,  1.437476748333898E+08, -5.561413613209128E+04, -2.784614561529768E+01, -5.144510939154586E+00, -2.109928453302479E-01,
2459947.500000000, A.D. 2023-Jan-03 00:00:00.0000, -3.022718277738601E+07,  1.433002880780965E+08, -7.218507456795871E+04, -2.795356829052204E+01, -5.220301136456131E+00, -1.706302089995164E-01,
2459948.500000000, A.D. 2023-Jan-04 00:00:00.0000, -3.265039738959087E+07,  1.428437410925387E+08, -8.479836945601553E+04, -2.815332555948165E+01, -5.360735877868679E+00, -1.198490293212060E-01,
2459949.500000000, A.D. 2023-Jan-05 00:00:00.0000, -3.509418886075605E+07,  1.423714299309078E+08, -9.268364417964965E+04, -2.842622826340842E+01, -5.588590679032935E+00, -6.174450623269712E-02,
2459950.500000000, A.D. 2023-Jan-06 00:00:00.0000, -3.756386288803673E+07,  1.418750102145434E+08, -9.535864507510513E+04, -2.874808398186997E+01, -5.921170934417235E+00,  1.431153200601720E-04,
2459951.500000000, A.D. 2023-Jan-07 00:00:00.0000, -4.006247115783074E+07,  1.413449182386014E+08, -9.265852625376731E+04, -2.909117632455969E+01, -6.369251128922918E+00,  6.204420256126753E-02,
2459952.500000000, A.D. 2023-Jan-08 00:00:00.0000, -4.259057884282317E+07,  1.407709669226058E+08, -8.474580043058842E+04, -2.942595827365967E+01, -6.936411993839304E+00,  1.201893402411369E-01,
2459953.500000000, A.D. 2023-Jan-09 00:00:00.0000, -4.514618398008318E+07,  1.401429802853252E+08, -7.210035170183331E+04, -2.972285666136100E+01, -7.618816184168487E+00,  1.710388937524678E-01,
2459954.500000000, A.D. 2023-Jan-10 00:00:00.0000, -4.772479360675179E+07,  1.394514277563411E+08, -5.549012226874381E+04, -2.995407776392040E+01, -8.405436397955393E+00,  2.114985175543804E-01,
2459955.500000000, A.D. 2023-Jan-11 00:00:00.0000, -5.031965195960409E+07,  1.386880196298283E+08, -3.592426524956524E+04, -3.009530364603068E+01, -9.278722144151997E+00,  2.391074458344731E-01,
2459956.500000000, A.D. 2023-Jan-12 00:00:00.0000, -5.292210674173221E+07,  1.378462273362988E+08, -1.459162648532540E+04, -3.012717540051174E+01, -1.021566434937958E+01,  2.521880717619713E-01,
2459957.500000000, A.D. 2023-Jan-13 00:00:00.0000, -5.552209100408056E+07,  1.369216968198228E+08,  7.211687050260603E+03, -3.003647243879656E+01, -1.118919239951992E+01,  2.499477061067790E-01,
2459958.500000000, A.D. 2023-Jan-14 00:00:00.0000, -5.810869111206935E+07,  1.359125298834379E+08,  2.816123159331083E+04, -2.981691571380434E+01, -1.216981759697956E+01,  2.325263565721789E-01,
2459959.500000000, A.D. 2023-Jan-15 00:00:00.0000, -6.067076601573016E+07,  1.348194165020438E+08,  4.698483295916766E+04, -2.946954608457046E+01, -1.312742167906192E+01,  2.009877043987665E-01,
2459960.500000000, A.D. 2023-Jan-16 00:00:00.0000, -6.319757995639940E+07,  1.336456102978348E+08,  6.253997158240527E+04, -2.900265561165919E+01, -1.403308000944991E+01,  1.572539691220349E-01,
2459961.500000000, A.D. 2023-Jan-17 00:00:00.0000, -6.567941003953112E+07,  1.323967490483695E+08,  7.388325354296714E+04, -2.843127785081427E+01, -1.486080710657670E+01,  1.039888192819456E-01,
2459962.500000000, A.D. 2023-Jan-18 00:00:00.0000, -6.810809185117528E+07,  1.310805316134708E+08,  8.032777417030185E+04, -2.777627133533984E+01, -1.558911787058761E+01,  4.443565730248267E-02,
2459963.500000000, A.D. 2023-Jan-19 00:00:00.0000, -7.047747038329041E+07,  1.297062713530429E+08,  8.148493168987334E+04, -2.706305601967524E+01, -1.620231134986270E+01, -1.777878329339977E-02,
2459964.500000000, A.D. 2023-Jan-20 00:00:00.0000, -7.278372961518428E+07,  1.282843533218995E+08,  7.728819198256731E+04, -2.632008252331628E+01, -1.669140416711015E+01, -7.886376783073867E-02,
2459965.500000000, A.D. 2023-Jan-21 00:00:00.0000, -7.502558157474543E+07,  1.268256277985947E+08,  6.799736934912950E+04, -2.557712591791223E+01, -1.705466470029826E+01, -1.350940845353543E-01,
2459966.500000000, A.D. 2023-Jan-22 00:00:00.0000, -7.720430384259990E+07,  1.253407759249503E+08,  5.418310664312541E+04, -2.486349964233892E+01, -1.729772174558021E+01, -1.830366736562610E-01,
2459967.500000000, A.D. 2023-Jan-23 00:00:00.0000, -7.932362274251702E+07,  1.238396846988064E+08,  3.669237558206916E+04, -2.420628566383128E+01, -1.743323921423499E+01, -2.197611326198095E-01,
2459968.500000000, A.D. 2023-Jan-24 00:00:00.0000, -8.138944787687990E+07,  1.223308686110945E+08,  1.659696237929165E+04, -2.362868027893479E+01, -1.748016456669190E+01, -2.430209028970358E-01,
2459969.500000000, A.D. 2023-Jan-25 00:00:00.0000, -8.340947248775697E+07,  1.208209736431631E+08, -4.871984867505729E+03, -2.314856000248244E+01, -1.746258142684186E+01, -2.513928306493742E-01,
2459970.500000000, A.D. 2023-Jan-26 00:00:00.0000, -8.539266311103205E+07,  1.193143953706014E+08, -2.639930312955379E+04, -2.277736877403271E+01, -1.740822895783054E+01, -2.443653111613857E-01,
2459971.500000000, A.D. 2023-Jan-27 00:00:00.0000, -8.734867000477576E+07,  1.178130360592743E+08, -4.666633107573539E+04, -2.251940788263260E+01, -1.734678316281429E+01, -2.223692194216484E-01,
2459972.500000000, A.D. 2023-Jan-28 00:00:00.0000, -8.928719549523199E+07,  1.163162164013491E+08, -6.443156139283627E+04, -2.237157689914301E+01, -1.730801619127053E+01, -1.867502372929151E-01,
2459973.500000000, A.D. 2023-Jan-29 00:00:00.0000, -9.121735998945487E+07,  1.148207471721685E+08, -7.860644881807268E+04, -2.232357798568133E+01, -1.731995519151209E+01, -1.396850965262750E-01,
2459974.500000000, A.D. 2023-Jan-30 00:00:00.0000, -9.314710506970254E+07,  1.133211557737050E+08, -8.832175474099070E+04, -2.235856446078070E+01, -1.740715659919277E+01, -8.404746720948975E-02,
2459975.500000000, A.D. 2023-Jan-31 00:00:00.0000, -9.508267027623585E+07,  1.118100530863678E+08, -9.298042377008498E+04, -2.245418855055270E+01, -1.758920019169678E+01, -2.323191664082280E-02,
2459976.500000000, A.D. 2023-Feb-01 00:00:00.0000, -9.702817532552388E+07,  1.102786176712638E+08, -9.229381729137152E+04, -2.258398151049753E+01, -1.787949197701250E+01,  3.905335326808324E-02,
2459977.500000000, A.D. 2023-Feb-02 00:00:00.0000, -9.898533292746478E+07,  1.087171674559391E+08, -8.629913550987840E+04, -2.271898116634157E+01, -1.828444617284699E+01,  9.901249650064958E-02,
2459978.500000000, A.D. 2023-Feb-03 00:00:00.0000, -1.009533093905535E+08,  1.071157839085238E+08, -7.535699288771302E+04, -2.282950802090105E+01, -1.880309416831258E+01,  1.529931206823090E-01,
2459979.500000000, A.D. 2023-Feb-04 00:00:00.0000, -1.029287412498952E+08,  1.054649506406593E+08, -6.012930940426886E+04, -2.288698247882144E+01, -1.942714313173823E+01,  1.977085304640092E-01,
2459980.500000000, A.D. 2023-Feb-05 00:00:00.0000, -1.049059067176371E+08,  1.037561675728888E+08, -4.153887083876878E+04, -2.286567329791816E+01, -2.014148014603722E+01,  2.304376545691751E-01,
2459981.500000000, A.D. 2023-Feb-06 00:00:00.0000, -1.068770413892889E+08,  1.019825033127340E+08, -2.071302298420668E+04, -2.274427143572506E+01, -2.092509103560816E+01,  2.491905166974506E-01,
2459982.500000000, A.D. 2023-Feb-07 00:00:00.0000, -1.088327789009959E+08,  1.001390521580337E+08,  1.085070764303207E+03, -2.250719386507170E+01, -2.175233804790206E+01,  2.528291781908232E-01,
2459983.500000000, A.D. 2023-Feb-08 00:00:00.0000, -1.107626896478062E+08,  9.822326793088140E+07,  2.253342104280740E+04, -2.214553809788691E+01, -2.259451879112246E+01,  2.411367706033971E-01,
2459984.500000000, A.D. 2023-Feb-09 00:00:00.0000, -1.126558847013136E+08,  9.623515433245552E+07,  4.233176171186566E+04, -2.165762915967960E+01, -2.342161161872614E+01,  2.148303897074211E-01,
2459985.500000000, A.D. 2023-Feb-10 00:00:00.0000, -1.145016480750406E+08,  9.417730024531089E+07,  5.928074647127837E+04, -2.104912540672508E+01, -2.420410104971112E+01,  1.755170510290451E-01,
2459986.500000000, A.D. 2023-Feb-11 00:00:00.0000, -1.162900587330227E+08,  9.205475787734717E+07,  7.235496494977176E+04, -2.033267646293720E+01, -2.491477158602460E+01,  1.255954025712978E-01,
2459987.500000000, A.D. 2023-Feb-12 00:00:00.0000, -1.180125643473563E+08,  8.987477126905219E+07,  8.076532961305976E+04, -1.952715410002839E+01, -2.553035985811679E+01,  6.810923585895701E-02,
2459988.500000000, A.D. 2023-Feb-13 00:00:00.0000, -1.196624717699151E+08,  8.764637188067411E+07,  8.400703898158669E+04, -1.865650343928175E+01, -2.603296344362146E+01,  6.561818887741211E-03,
2459989.500000000, A.D. 2023-Feb-14 00:00:00.0000, -1.212353243348633E+08,  8.537986615891814E+07,  8.189021162942052E+04, -1.774828576758121E+01, -2.641111963493492E+01, -5.529750285454860E-02,
2459990.500000000, A.D. 2023-Feb-15 00:00:00.0000, -1.227291431543267E+08,  8.308624661675932E+07,  7.455135320130736E+04, -1.683200393073824E+01, -2.666048821914196E+01, -1.137013019937108E-01,
2459991.500000000, A.D. 2023-Feb-16 00:00:00.0000, -1.241445180737366E+08,  8.077656257993636E+07,  6.244499541971460E+04, -1.593731508306508E+01, -2.678409795944994E+01, -1.650927132348343E-01,
2459992.500000000, A.D. 2023-Feb-17 00:00:00.0000, -1.254845433385127E+08,  7.846128900565840E+07,  4.631605169316754E+04, -1.509224187738962E+01, -2.679214531204418E+01, -2.063409289978537E-01,
