

*******************************************************************************
Ephemeris / WWW_USER Thu Dec 21 08:33:18 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2022-Dec-01 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Dec-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459940.500000000, A.D. 2022-Dec-27 00:00:00.0000,  3.782927769317185E+07,  2.792433717744831E+07, -1.282540249552116E+06, -3.781405727330031E+01,  4.177539556320632E+01,  6.883878190418670E+00,
2459941.500000000, A.D. 2022-Dec-28 00:00:00.0000,  3.439095330921985E+07,  3.140287662925291E+07, -6.827641812960319E+05, -4.173930065429041E+01,  3.866778511463173E+01,  6.989968445446110E+00,
2459942.500000000, A.D. 2022-Dec-29 00:00:00.0000,  3.062423509866241E+07,  3.459277892338414E+07, -7.645351041849144E+04, -4.540379715829278E+01,  3.509704153512812E+01,  7.034294476643453E+00,
2459943.500000000, A.D. 2022-Dec-30 00:00:00.0000,  2.655475433446953E+07,  3.745502649367837E+07,  5.308522211055662E+05, -4.873583083430345E+01,  3.108862906342940E+01,  7.012359077304753E+00,
2459944.500000000, A.D. 2022-Dec-31 00:00:00.0000,  2.221426105637598E+07,  3.995342672703072E+07,  1.133283082646584E+06, -5.166606826751312E+01,  2.668252770552508E+01,  6.921069806177604E+00,
2459945.500000000, A.D. 2023-Jan-01 00:00:00.0000,  1.764026173635770E+07,  4.205586451549117E+07,  1.724774348507849E+06, -5.413121416137490E+01,  2.193301681426525E+01,  6.759056609823457E+00,
2459946.500000000, A.D. 2023-Jan-02 00:00:00.0000,  1.287533782928271E+07,  4.373548807831047E+07,  2.299225909143638E+06, -5.607767851199483E+01,  1.690733325491502E+01,  6.526898539583545E+00,
2459947.500000000, A.D. 2023-Jan-03 00:00:00.0000,  7.966161498602691E+06,  4.497172956349367E+07,  2.850675957193611E+06, -5.746484981914066E+01,  1.168320223155993E+01,  6.227222206243693E+00,
2459948.500000000, A.D. 2023-Jan-04 00:00:00.0000,  2.962260133888559E+06,  4.575106903275479E+07,  3.373476744904166E+06, -5.826757504267989E+01,  6.345408301629669E+00,  5.864649037717332E+00,
2459949.500000000, A.D. 2023-Jan-05 00:00:00.0000, -2.085387338777964E+06,  4.606747194236021E+07,  3.862459088469191E+06, -5.847753189172465E+01,  9.817314746213868E-01,  5.445589050685870E+00,
2459950.500000000, A.D. 2023-Jan-06 00:00:00.0000, -7.125818334490878E+06,  4.592246336784973E+07,  4.313073074768793E+06, -5.810333014576123E+01, -4.321320939404155E+00,  4.977901351340702E+00,
2459951.500000000, A.D. 2023-Jan-07 00:00:00.0000, -1.210950842680253E+07,  4.532484120013454E+07,  4.721495039988501E+06, -5.716936316919121E+01, -9.482529523347599E+00,  4.470460669223623E+00,
2459952.500000000, A.D. 2023-Jan-08 00:00:00.0000, -1.698964645622225E+07,  4.429006810239145E+07,  5.084694839724727E+06, -5.571360546844235E+01, -1.442932596589994E+01,  3.932680496505863E+00,
2459953.500000000, A.D. 2023-Jan-09 00:00:00.0000, -2.172318510949762E+07,  4.283941147590380E+07,  5.400461931439657E+06, -5.378467829539568E+01, -1.910022992605225E+01,  3.374044789813500E+00,
2459954.500000000, A.D. 2023-Jan-10 00:00:00.0000, -2.627161990730787E+07,  4.099891770837173E+07,  5.667393002727680E+06, -5.143856080753785E+01, -2.344624190631121E+01,  2.803692475572364E+00,
2459955.500000000, A.D. 2023-Jan-11 00:00:00.0000, -3.060148194148710E+07,  3.879831045360488E+07,  5.884847135079825E+06, -4.873530846481922E+01, -2.743122555014176E+01,  2.230085203334182E+00,
2459956.500000000, A.D. 2023-Jan-12 00:00:00.0000, -3.468455822717092E+07,  3.626989446062270E+07,  6.052876436600983E+06, -4.573607027717709E+01, -3.103142899362794E+01,  1.660772867695801E+00,
2459957.500000000, A.D. 2023-Jan-13 00:00:00.0000, -3.849787458913472E+07,  3.344753027236102E+07,  6.172140684621900E+06, -4.250059819747891E+01, -3.423436206917314E+01,  1.102256912113338E+00,
2459958.500000000, A.D. 2023-Jan-14 00:00:00.0000, -4.202348827426994E+07,  3.036572525308311E+07,  6.243814021812866E+06, -3.908534078768420E+01, -3.703726492991147E+01,  5.599406143819525E-01,
2459959.500000000, A.D. 2023-Jan-15 00:00:00.0000, -4.524814158658526E+07,  2.705886664410684E+07,  6.269490511141302E+06, -3.554212768207265E+01, -3.944538486926456E+01,  3.814923736153730E-02,
2459960.500000000, A.D. 2023-Jan-16 00:00:00.0000, -4.816282558564135E+07,  2.356060529883470E+07,  6.251093754915993E+06, -3.191739055070367E+01, -4.147023669000576E+01, -4.597992654189156E-01,
2459961.500000000, A.D. 2023-Jan-17 00:00:00.0000, -5.076229651561999E+07,  1.990338573809283E+07,  6.190794135353580E+06, -2.825183142865841E+01, -4.312797200213630E+01, -9.314914111668706E-01,
2459962.500000000, A.D. 2023-Jan-18 00:00:00.0000, -5.304457923868068E+07,  1.611810945312186E+07,  6.090935752121584E+06, -2.458043642193327E+01, -4.443793472105110E+01, -1.375298885848562E+00,
2459963.500000000, A.D. 2023-Jan-19 00:00:00.0000, -5.501048316885279E+07,  1.223391351264147E+07,  5.953973929151202E+06, -2.093273566905021E+01, -4.542143986099021E+01, -1.790254902116008E+00,
2459964.500000000, A.D. 2023-Jan-20 00:00:00.0000, -5.666314812137140E+07,  8.278044693238670E+06,  5.782423271617155E+06, -1.733322269976053E+01, -4.610078280748341E+01, -2.175934771306462E+00,
2459965.500000000, A.D. 2023-Jan-21 00:00:00.0000, -5.800763068435263E+07,  4.275809657524768E+06,  5.578815654457450E+06, -1.380186280883635E+01, -4.649846638779341E+01, -2.532346109013268E+00,
2459966.500000000, A.D. 2023-Jan-22 00:00:00.0000, -5.905053638137365E+07,  2.505833469084252E+05,  5.345667168364665E+06, -1.035463713318955E+01, -4.663662163978698E+01, -2.859831594828410E+00,
2459967.500000000, A.D. 2023-Jan-23 00:00:00.0000, -5.979969897345214E+07, -3.776139905136982E+06,  5.085452880757943E+06, -7.004084627139780E+00, -4.653659311767049E+01, -3.158985370848509E+00,
2459968.500000000, A.D. 2023-Jan-24 00:00:00.0000, -6.026390556110317E+07, -7.784665457813448E+06,  4.800588233185134E+06, -3.759817053033254E+00, -4.621865884491331E+01, -3.430582918728668E+00,
2459969.500000000, A.D. 2023-Jan-25 00:00:00.0000, -6.045266445302831E+07, -1.175699805087866E+07,  4.493415946603902E+06, -6.289921873965062E-01, -4.570185694812506E+01, -3.675523487391896E+00,
2459970.500000000, A.D. 2023-Jan-26 00:00:00.0000, -6.037601182823599E+07, -1.567673022128935E+07,  4.166197406073619E+06,  2.383262122690929E+00, -4.500389432042353E+01, -3.894783732456119E+00,
2459971.500000000, A.D. 2023-Jan-27 00:00:00.0000, -6.004435282070905E+07, -1.952892560882739E+07,  3.821107620525252E+06,  5.273475228987713E+00, -4.414111650434934E+01, -4.089381066379467E+00,
2459972.500000000, A.D. 2023-Jan-28 00:00:00.0000, -5.946833262616590E+07, -2.330000167968941E+07,  3.460232983869422E+06,  8.039511044119399E+00, -4.312852181004496E+01, -4.260345218257806E+00,
2459973.500000000, A.D. 2023-Jan-29 00:00:00.0000, -5.865873343461938E+07, -2.697761508399241E+07,  3.085571189729737E+06,  1.068029219291348E+01, -4.197980618963197E+01, -4.408696598766104E+00,
2459974.500000000, A.D. 2023-Jan-30 00:00:00.0000, -5.762639333148611E+07, -3.055055183358241E+07,  2.699032767324159E+06,  1.319556654073368E+01, -4.070742843164523E+01, -4.535430212682654E+00,
2459975.500000000, A.D. 2023-Jan-31 00:00:00.0000, -5.638214371448092E+07, -3.400862369824882E+07,  2.302443807536690E+06,  1.558571123678973E+01, -3.932268778130427E+01, -4.641504027911038E+00,
2459976.500000000, A.D. 2023-Feb-01 00:00:00.0000, -5.493676219688971E+07, -3.734257162876161E+07,  1.897549535243489E+06,  1.785156939043935E+01, -3.783580815444490E+01, -4.727830876594682E+00,
2459977.500000000, A.D. 2023-Feb-02 00:00:00.0000, -5.330093838054994E+07, -4.054397658468885E+07,  1.486018456992820E+06,  1.999431474103549E+01, -3.625602474669088E+01, -4.795273119675766E+00,
2459978.500000000, A.D. 2023-Feb-03 00:00:00.0000, -5.148525026668461E+07, -4.360517783941633E+07,  1.069446873403875E+06,  2.201534006956459E+01, -3.459167010833711E+01, -4.844639445505583E+00,
2459979.500000000, A.D. 2023-Feb-04 00:00:00.0000, -4.950014942074895E+07, -4.651919862545121E+07,  6.493635946783237E+05,  2.391616555397463E+01, -3.285025772367926E+01, -4.876683293851286E+00,
2459980.500000000, A.D. 2023-Feb-05 00:00:00.0000, -4.735595331534034E+07, -4.927967884657946E+07,  2.272347370155714E+05,  2.569836373853981E+01, -3.103856186034874E+01, -4.892102499008205E+00,
2459981.500000000, A.D. 2023-Feb-06 00:00:00.0000, -4.506284354318137E+07, -5.188081450118497E+07, -1.955314909765050E+05,  2.736349823961648E+01, -2.916269299109935E+01, -4.891539831062143E+00,
2459982.500000000, A.D. 2023-Feb-07 00:00:00.0000, -4.263086882246985E+07, -5.431730341854328E+07, -6.175800781879053E+05,  2.891307372821051E+01, -2.722816848059082E+01, -4.875584184571535E+00,
2459983.500000000, A.D. 2023-Feb-08 00:00:00.0000, -4.006995191284431E+07, -5.658429689606164E+07, -1.037604624437511E+06,  3.034849510555311E+01, -2.523997850817991E+01, -4.844772221163929E+00,
2459984.500000000, A.D. 2023-Feb-09 00:00:00.0000, -3.738989972563218E+07, -5.867735683186760E+07, -1.454342909989022E+06,  3.167103411891872E+01, -2.320264739262387E+01, -4.799590318832362E+00,
2459985.500000000, A.D. 2023-Feb-10 00:00:00.0000, -3.460041605076416E+07, -6.059241796761901E+07, -1.866572642660838E+06,  3.288180195237047E+01, -2.112029061796667E+01, -4.740476717982156E+00,
2459986.500000000, A.D. 2023-Feb-11 00:00:00.0000, -3.171111643839155E+07, -6.232575488637537E+07, -2.273107395879887E+06,  3.398172657421470E+01, -1.899666794880000E+01, -4.667823784210218E+00,
2459987.500000000, A.D. 2023-Feb-12 00:00:00.0000, -2.873154486913740E+07, -6.387395344658377E+07, -2.672792745192848E+06,  3.497153383397829E+01, -1.683523308068255E+01, -4.581980331862351E+00,
2459988.500000000, A.D. 2023-Feb-13 00:00:00.0000, -2.567119192596278E+07, -6.523388637343782E+07, -3.064502606782414E+06,  3.585173148140385E+01, -1.463918030773531E+01, -4.483253971856289E+00,
2459989.500000000, A.D. 2023-Feb-14 00:00:00.0000, -2.253951424533759E+07, -6.640269277155939E+07, -3.447135779090524E+06,  3.662259543304855E+01, -1.241148871184320E+01, -4.371913463132000E+00,
2459990.500000000, A.D. 2023-Feb-15 00:00:00.0000, -1.934595507786915E+07, -6.737776136719322E+07, -3.819612687452637E+06,  3.728415774317128E+01, -1.015496439214685E+01, -4.248191060280493E+00,
2459991.500000000, A.D. 2023-Feb-16 00:00:00.0000, -1.609996583047059E+07, -6.815671733338104E+07, -4.180872331501886E+06,  3.783619584905205E+01, -7.872281263834324E+00, -4.112284861153682E+00,
2459992.500000000, A.D. 2023-Feb-17 00:00:00.0000, -1.281102849489135E+07, -6.873741259769642E+07, -4.529869435867023E+06,  3.827822276079996E+01, -5.566020964793790E+00, -3.964361168202151E+00,
2459993.500000000, A.D. 2023-Feb-18 00:00:00.0000, -9.488678891984547E+06, -6.911791957911545E+07, -4.865571806276411E+06,  3.860947795594337E+01, -3.238712419788389E+00, -3.804556886472392E+00,
2459994.500000000, A.D. 2023-Feb-19 00:00:00.0000, -6.142530678126221E+06, -6.929652834868006E+07, -5.186957895546611E+06,  3.882891882338336E+01, -8.928716261556777E-01, -3.632981990098077E+00,
