

*******************************************************************************
Ephemeris / WWW_USER Thu Dec 21 04:03:39 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Sun (10)                        {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2022-Dec-01 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Dec-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 6.96E5, 0.0                {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459939.500000000, A.D. 2022-Dec-26 00:00:00.0000, -6.809417660087730E+05, -1.195608602203103E+05,  8.024657007145480E+04,  3.327043941721192E-01, -1.963648982528195E+00, -1.024747074927178E-01,
2459940.500000000, A.D. 2022-Dec-27 00:00:00.0000, -6.317283543770796E+05, -2.838472583849643E+05,  6.903636855575626E+04,  8.006707100663236E-01, -1.819834167112093E+00, -1.556940089229218E-01,
2459941.500000000, A.D. 2022-Dec-28 00:00:00.0000, -5.439948061819683E+05, -4.308258452405594E+05,  5.361661980953584E+04,  1.219815495503033E+00, -1.565053522547711E+00, -1.994197448921756E-01,
2459942.500000000, A.D. 2022-Dec-29 00:00:00.0000, -4.230907439854993E+05, -5.515344850869208E+05,  3.492755522079839E+04,  1.564581065342743E+00, -1.214842500353624E+00, -2.309857040309859E-01,
2459943.500000000, A.D. 2022-Dec-30 00:00:00.0000, -2.763883887028985E+05, -6.386128730413410E+05,  1.410875529944620E+04,  1.813945066004878E+00, -7.905554948790193E-01, -2.484671269892975E-01,
2459944.500000000, A.D. 2022-Dec-31 00:00:00.0000, -1.128330325951685E+05, -6.867513354561931E+05, -7.570337146587146E+03,  1.952702330121441E+00, -3.180637422005416E-01, -2.507980701617342E-01,
2459945.500000000, A.D. 2023-Jan-01 00:00:00.0000,  5.760240700752255E+04, -6.930145914731207E+05, -2.878782229144088E+04,  1.972392023654791E+00,  1.738221989768707E-01, -2.378364024428812E-01,
2459946.500000000, A.D. 2023-Jan-02 00:00:00.0000,  2.245254942376511E+05, -6.570207340978388E+05, -4.824994718002889E+04,  1.871813551953264E+00,  6.551091939522483E-01, -2.103724717839937E-01,
2459947.500000000, A.D. 2023-Jan-03 00:00:00.0000,  3.777579616941406E+05, -5.809645172810506E+05, -6.476999333861427E+04,  1.657099766959376E+00,  1.096450387159911E+00, -1.700809131008837E-01,
2459948.500000000, A.D. 2023-Jan-04 00:00:00.0000,  5.079563383558215E+05, -4.694835290587852E+05, -7.734063787333976E+04,  1.341343011707448E+00,  1.470934649923066E+00, -1.194185360840976E-01,
2459949.500000000, A.D. 2023-Jan-05 00:00:00.0000,  6.071816751242584E+05, -3.293754109504847E+05, -8.519537578119445E+04,  9.437968043423474E-01,  1.755727507830660E+00, -6.147451928302694E-02,
2459950.500000000, A.D. 2023-Jan-06 00:00:00.0000,  6.693836285311560E+05, -1.691833663844226E+05, -8.785525819948144E+04,  4.887018396040699E-01,  1.933463490895130E+00,  2.179550023548860E-04,
2459951.500000000, A.D. 2023-Jan-07 00:00:00.0000,  6.907693852204604E+05,  1.324767893669043E+03, -8.515809669183067E+04,  3.807893278358615E-03,  1.993305006830446E+00,  6.189713930890761E-02,
2459952.500000000, A.D. 2023-Jan-08 00:00:00.0000,  6.700349317463215E+05,  1.717521234008987E+05, -7.726835281656298E+04, -4.813182423556787E-01,  1.931603171824189E+00,  1.198020965406736E-01,
2459953.500000000, A.D. 2023-Jan-09 00:00:00.0000,  6.084445678253907E+05,  3.317067572029530E+05, -6.466710995301088E+04, -9.370956170893833E-01,  1.752120304116992E+00,  1.704020260854189E-01,
2459954.500000000, A.D. 2023-Jan-10 00:00:00.0000,  5.097538146603923E+05,  4.714353088639491E+05, -4.812273886149158E+04, -1.335732844648821E+00,  1.465800513668413E+00,  2.106115571780228E-01,
2459955.500000000, A.D. 2023-Jan-11 00:00:00.0000,  3.799804190615211E+05,  5.824177193197384E+05, -2.864404566790632E+04, -1.652922704472406E+00,  1.090102376387657E+00,  2.379788818252134E-01,
2459956.500000000, A.D. 2023-Jan-12 00:00:00.0000,  2.270374165702898E+05,  6.578867482252048E+05, -7.418759111507010E+03, -1.869324293730179E+00,  6.479343836451105E-01,  2.508352557392272E-01,
2459957.500000000, A.D. 2023-Jan-13 00:00:00.0000,  6.025062785243442E+04,  6.932406117921036E+05,  1.425889215533520E+04, -1.971742354186552E+00,  1.662580788738052E-01,  2.483967513419414E-01,
2459958.500000000, A.D. 2023-Jan-14 00:00:00.0000, -1.102099906006652E+05,  6.863235801988969E+05,  3.506709618388134E+04, -1.953931863518235E+00, -3.255559438875455E-01,  2.308120583696061E-01,
2459959.500000000, A.D. 2023-Jan-15 00:00:00.0000, -2.739504676208592E+05,  6.375574249233694E+05,  5.373705625911045E+04, -1.816978830494742E+00, -7.975189352194991E-01,  1.991534173984545E-01,
2459960.500000000, A.D. 2023-Jan-16 00:00:00.0000, -4.209865979843749E+05,  5.499157008928414E+05,  6.913035678395719E+04, -1.569234074733853E+00, -1.220852578060583E+00,  1.553512391266472E-01,
2459961.500000000, A.D. 2023-Jan-17 00:00:00.0000, -5.423527372300829E+05,  4.287424316182388E+05,  8.030837907165469E+04, -1.225804028863861E+00, -1.569743768374637E+00,  1.020763960535975E-01,
2459962.500000000, A.D. 2023-Jan-18 00:00:00.0000, -6.306484889288418E+05,  2.814262531295144E+05,  8.658953436328821E+04, -8.076296118339201E-01, -1.822918589606303E+00,  4.257736391472156E-02,
2459963.500000000, A.D. 2023-Jan-19 00:00:00.0000, -6.804899497148456E+05,  1.169498860439533E+05,  8.759082424200140E+04, -3.402093398016673E-01, -1.964939506586089E+00, -1.951785669842787E-02,
2459964.500000000, A.D. 2023-Jan-20 00:00:00.0000, -6.888379970559261E+05, -5.465759293531307E+04,  8.325119426469321E+04,  1.479554660773095E-01, -1.987146681459608E+00, -8.042296054661091E-02,
2459965.500000000, A.D. 2023-Jan-21 00:00:00.0000, -6.551836021561007E+05, -2.229322819115536E+05,  7.383525680502458E+04,  6.270985702721474E-01, -1.888186014156967E+00, -1.364242107025776E-01,
2459966.500000000, A.D. 2023-Jan-22 00:00:00.0000, -5.815788683894201E+05, -3.776134984971252E+05,  5.991715610443402E+04,  1.068003842654882E+00, -1.674091709716603E+00, -1.841068866004651E-01,
2459967.500000000, A.D. 2023-Jan-23 00:00:00.0000, -4.725119026720324E+05, -5.092694330457012E+05,  4.234555937245145E+04,  1.443786735166149E+00, -1.357918337855626E+00, -2.205634993258226E-01,
2459968.500000000, A.D. 2023-Jan-24 00:00:00.0000, -3.346331495896233E+05, -6.098722607128577E+05,  2.219190863168606E+04,  1.731533588418278E+00, -9.589448202456978E-01, -2.435710780541010E-01,
2459969.500000000, A.D. 2023-Jan-25 00:00:00.0000, -1.763498752734802E+05, -6.732876444317924E+05,  6.850886922096543E+02,  1.913698810217776E+00, -5.014988830004807E-01, -2.517267174566634E-01,
2459970.500000000, A.D. 2023-Jan-26 00:00:00.0000, -7.313527691891374E+03, -6.956487809726846E+05, -2.086350507267623E+04,  1.979174731940618E+00, -1.347365431499183E-02, -2.445331209639128E-01,
2459971.500000000, A.D. 2023-Jan-27 00:00:00.0000,  1.621687680310149E+05, -6.755921823310776E+05, -4.113993009759235E+04,  1.923968907420814E+00,  4.753731411097857E-01, -2.224289238173465E-01,
2459972.500000000, A.D. 2023-Jan-28 00:00:00.0000,  3.217626947301252E+05, -6.143408154884584E+05, -5.890781531328728E+04,  1.751447555516303E+00,  9.352336828904855E-01, -1.867619469384270E-01,
2459973.500000000, A.D. 2023-Jan-29 00:00:00.0000,  4.617368863704231E+05, -5.156295310323077E+05, -7.308374985145094E+04,  1.472130302248970E+00,  1.338067610408837E+00, -1.397070124807920E-01,
2459974.500000000, A.D. 2023-Jan-30 00:00:00.0000,  5.735563057955427E+05, -3.854773276845540E+05, -8.280334488017387E+04,  1.103048738279307E+00,  1.659311806000625E+00, -8.413333232757425E-02,
2459975.500000000, A.D. 2023-Jan-31 00:00:00.0000,  6.504026753757817E+05, -2.318203390891093E+05, -8.747394039733103E+04,  6.667079041815482E-01,  1.879378150502506E+00, -2.342955562520099E-02,
2459976.500000000, A.D. 2023-Feb-01 00:00:00.0000,  6.875902268847760E+05, -6.402792177969526E+04, -8.681074314343552E+04,  1.897140277768520E-01,  1.984847924326402E+00,  3.870285678118934E-02,
2459977.500000000, A.D. 2023-Feb-02 00:00:00.0000,  6.828514199269415E+05,  1.076686487527567E+05, -8.085419209611358E+04, -2.988478116729197E-01,  1.969290024510319E+00,  9.847533185331858E-02,
2459978.500000000, A.D. 2023-Feb-03 00:00:00.0000,  6.364752070083655E+05,  2.728000381835238E+05, -6.996749267142743E+04, -7.691871692005831E-01,  1.833653106313125E+00,  1.522431956002869E-01,
2459979.500000000, A.D. 2023-Feb-04 00:00:00.0000,  5.512894144289758E+05,  4.212972293033780E+05, -5.481446998607185E+04, -1.192624730101354E+00,  1.586207738209065E+00,  1.967279099607491E-01,
